ID,URL,Name,Author,Description,Scenario,Symptoms,Security Impact,Security Related Design,"""Pernicious Kingdom""",Root cause 1,Confidence 1,Root cause 2,Confidence 2,Root cause 3,Confidence 3,Consensus Value,Stage,Jasmine root cause analysis,Jasmine Reasoning,Alexander root cause analysis,Alexander Reasoning,FH Review
532,https://cwe.mitre.org/data/definitions/532,Insertion of Sensitive Information into Log File,Marvin,Information written to log files can be of a sensitive nature and give valuable guidance to an attacker or expose sensitive user information.,"Developers may not be aware of the sensitive nature of information that is written to log files, or they may not understand the potential risks of exposing this information to attackers.",,read application data,"internal compromise, audit, sensitive information",Encapsulation,lack of knowledge,High,,,,,lack of knowledge,Design,,,,,
785,https://cwe.mitre.org/data/definitions/785,Use of Path Manipulation Function without Maximum-sized Buffer,Marvin,"The product invokes a function for normalizing paths or file names, but it provides an output buffer that is smaller than the maximum possible size, such as PATH_MAX.",Developers may not know that the path is limited in size.,,"modify memory, execute unauthorized code, system crash, system restart","input validation, memory buffer errors",Code Quality,biased review,Medium,lack of knowledge,Low,,,lack of knowledge,Coding,,,,,
1333,https://cwe.mitre.org/data/definitions/1333,Inefficient Regular Expression Complexity,Marvin,"The product uses a regular expression with an inefficient, possibly exponential worst-case computational complexity that consumes excessive CPU cycles.",This may be caused by not fully grasping that regex can exponentially scale in computation and not understanding how regex works in backtracking.,,resource consumption,algorithmic complexity,Code Quality,difficulties with exponents,Medium,lack of knowledge,Low,,,difficulties with exponents,Coding,,,,,
233,https://cwe.mitre.org/data/definitions/233,Improper Handling of Parameters,Marvin,"The product does not properly handle when the expected number of parameters, fields, or arguments is not provided in input, or if those parameters are undefined.",This suggests a developer did not check their work and it did not occur to them that an input field could be blank/incorrect/etc. ,,unexpected state,parameter handling,,biased review,High,lack of knowledge,Low,,,biased review,Design,,,,,
1064,https://cwe.mitre.org/data/definitions/1064,Invokable Control Element with Signature Containing an Excessive Number of Parameters,Marvin,"The product contains a function, subroutine, or method whose signature has an unnecessarily large number of parameters/arguments. ",The issue is excessive code complexity which can cause issues when humans have a hard time managing/maintaining/tracking everything required for the function.,,,,Code Quality,complexity,High,,,,,,Coding,,,,,
1277,https://cwe.mitre.org/data/definitions/1277,Firmware Not Updateable,Marvin,The product does not provide its users with the ability to update or patch its firmware to address any vulnerabilities or weaknesses that may be present.,The company/dev does not envision or provide for ways to protect the product against novel attacks that may occur in the future.,,"gain privileges, bypass protection mechanism, execute unauthorized code, system crash, system restart","authentication, firmware",,security culture,High,,,,,security culture,Design,,,,,
1091,https://cwe.mitre.org/data/definitions/1091,Use of Object without Invoking Destructor Method,Marvin,"The product contains a method that accesses an object but does not later invoke the element's associated finalize/destructor method.
This issue can make the product perform more slowly by retaining memory and/or other resources longer than necessary. If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",The developer may not be aware that objects should be destroyed after they are no longer needed.,,Quality degradation,automated static analysis,Time and State,lack of knowledge,Medium,post completion,Low,,,,Coding,,,,,
460,https://cwe.mitre.org/data/definitions/460,Improper Cleanup on Thrown Exception,Marvin,"The product does not clean up its state or incorrectly cleans up its state when an exception is thrown, leading to unexpected state or control flow.
Often, when functions or loops become complicated, some level of resource cleanup is needed throughout execution. Exceptions can disturb the flow of the code and prevent the necessary cleanup from happening.",The developer forgot to implement this requirement.,,,"automated static analysis, resource cleanup",Errors,post completion,High,,,,,post completion,Design,,,,,
1320,https://cwe.mitre.org/data/definitions/1320,Improper Protection for Outbound Error Messages and Alert Signals,Marvin,"Untrusted agents can disable alerts about signal conditions exceeding limits or the response mechanism that handles such alerts.
Hardware sensors are used to detect whether a device is operating within design limits. The threshold values for these limits are set by hardware fuses or trusted software such as a BIOS. Modification of these limits may be protected by hardware mechanisms.","The designers/engineers did not think about securing these warning signals/etc as they are not usually issues, but can be abused for performance/dos.",,"system crash, system restart, instability, unexpected state",access control,Errors,security culture,High,,,,,biased review,Design,,,,,
486,https://cwe.mitre.org/data/definitions/486,Comparison of Classes by Name,Marvin,"The product compares classes by name, which can cause it to use the wrong class when multiple classes can have the same name.",Developers may create classes without considering the potential for name collisions and could be unaware of the risks of comparing classes by name if any potential user input is far removed from their logic.,,execute unauthorized code,mapping objects,Encapsulation,lack of knowledge,High,lack of review,,,,rule deficiencies,Coding,,,,,
1221,https://cwe.mitre.org/data/definitions/1221,Incorrect Register Defaults or Module Parameters,Marvin,Hardware description language code incorrectly defines register defaults or hardware Intellectual Property (IP) parameters to insecure values.,The developer may incorrectly configure values/parameters when creating them.,,access control,"resource management, proper initialization, logic design",,rule deficiencies,High,,,,,rule deficiencies,Design,,,,,
634,https://cwe.mitre.org/data/definitions/634,Use of Externally-Controlled Format String,Marvin,"The product uses a function that accepts a format string as an argument, but the format string originates from an external source.","The core issue in this vulnerability stems from a developer's potential lack of understanding about the dangers of using format strings (like in C's printf family of functions) constructed from untrusted external input. Without this knowledge, they might inadvertently create code that leaves the application open to malicious manipulation.",,,,Input Validation and Representation,lack of knowledge,High,,,,,lack of knowledge,Coding,,,,,
708,https://cwe.mitre.org/data/definitions/708,Incorrect Ownership Assignment,Marvin,"The product assigns an owner to a resource, but the owner is outside of the intended control sphere.
This may allow the resource to be manipulated by actors outside of the intended control sphere.",This is an error made in management of user roles.,,"read application data, modify application data","policy, authorize actors",Encapsulation,miscommunication,Medium,rule deficiencies,Low,,,unknown,Design,,,,,
482,https://cwe.mitre.org/data/definitions/482,Comparing instead of Assigning,Marvin,"The code uses an operator for comparison when the intention was to perform an assignment.
In many languages, the compare statement is very close in appearance to the assignment statement; they are often confused.",The developer may sleepily mistake the operator necessary for the problem at hand.,,unexpected state,automated static analysis,Code Quality,perceptual confusion,High,,,,,perceptual confusion,Coding,,,,,
242,https://cwe.mitre.org/data/definitions/242,Use of Inherently Dangerous Function,Marvin,The product calls a function that can never be guaranteed to work safely.,The developer does not know that the function is not safe.,,unexpected behavior,"automated static analysis, api errors, function errors",API Abuse,lack of knowledge,High,security culture,Low,,,lack of knowledge,Coding,,,,,
564,https://cwe.mitre.org/data/definitions/564,SQL Injection: Hibernate,Marvin,Using Hibernate to execute a dynamic SQL statement built with user-controlled input can allow an attacker to modify the statement's meaning or to execute arbitrary SQL commands.,The developer is not aware that any user input should be sanitized before it can be used with an sql statement.,,read application data,"neutralization, sql injection",Input Validation and Representation,lack of knowledge,High,,,,,lack of knowledge,Coding,,,,,
1391,https://cwe.mitre.org/data/definitions/1391,Use of Weak Credentials,Marvin,"The product uses weak credentials (such as a default key or hard-coded password) that can be calculated, derived, reused, or guessed by an attacker.",There was a failure in the planning/execution in which a decision was made to use weak credentials that can be easily cracked.,,bypass protection mechanism,"authentication, password requirements",Security Features,security culture,High,,,,,security culture,Design,,,,,
911,https://cwe.mitre.org/data/definitions/911,Improper Update of Reference Count,Marvin,"The product uses a reference count to manage a resource, but it does not update or incorrectly updates the reference count."," Developers may make incorrect assumptions about object lifetimes, how reference counts should be managed in different scenarios, or the interactions between code components.",,"resource consumption, system crash, system restart",resource management,Code Quality,perceptual confusion,,,,,,,Coding,,,,,
198,https://cwe.mitre.org/data/definitions/198,Use of Incorrect Byte Ordering,Marvin,"The product receives input from an upstream component, but it does not account for byte ordering (e.g. big-endian and little-endian) when processing the input, causing an incorrect number or value to be used.",A developer might not understand how byte ordering works across different systems.,,unexpected state,input validation,Time and State,lack of knowledge,,rule deficiencies,,,,,Coding,,,,,
1104,https://cwe.mitre.org/data/definitions/1104,Use of Unmaintained Third Party Components,Marvin,The product relies on third-party components that are not actively supported or maintained by the original developer or a trusted proxy for the original developer.,This is an issue with choosing to use poor third party libraries and not choosing to prioritize replacing them when they are known to be outdated/poorly maintained.,,reduce maintainability,"expired code, unmaintained code, automated static analysis",API Abuse,poor tools,,security culture,,,,,Design,,,,,
175,https://cwe.mitre.org/data/definitions/175,Improper Handling of Mixed Encoding,Marvin,The product does not properly handle when the same input uses several different (mixed) encodings.,It was not caught in review that the functionality takes input that could have weird encoding stuff. The CWE recommends to always assume input is malicious and to use and specify a common encoding.,,unexpected state,"input validation, output encoding",Input Validation and Representation,lack of review,,,,,,biased review,Review,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
